longitude,latitude,YR,MO,X,Y,TOT
-73.90292273733625,40.86509237686988,2014,3,1011101,254469,1.0
-73.84892849828282,40.82288104513941,2014,3,1026062,239111,1.0
-73.90235366564532,40.8192991641385,2014,3,1011277,237785,2.0
-73.85261641395388,40.8918821943342,2014,3,1024999,264249,1.0
-73.8905071417266,40.84111175661295,2014,3,1014546,245736,1.0
-73.90106853875984,40.82100802907225,2014,3,1011632,238408,3.0
-73.89986727812125,40.81976363415049,2014,3,1011965,237955,1.0
-73.88080250056281,40.67412275447886,2014,7,1017314,184900,1.0
-73.95942059635331,40.699349640808045,2014,3,995502,194071,1.0
-73.99948459373392,40.65907724341114,2014,3,984393,179396,1.0
-74.00118855050002,40.611449689231584,2014,3,983920,162044,1.0
-74.0073723146608,40.608732112269415,2014,3,982203,161054,1.0
-73.99048479410166,40.60863314222502,2014,3,986892,161018,1.0
-73.99395429978767,40.59487919981447,2014,3,985929,156007,1.0
-73.88182532663876,40.67265809821234,2014,3,1017031,184366,1.0
-73.99574333033937,40.60357479875054,2014,3,985432,159175,1.0
-74.02849748985162,40.622441802859136,2014,3,976339,166050,1.0
-73.86609245148269,40.67123828015519,2014,3,1021396,183855,1.0
-73.93983223746487,40.64951241104853,2014,7,1000946,175917,1.0
-74.008464042701,40.61241555127519,2014,3,981900,162396,1.0
-73.8633305189634,40.67152048934759,2014,3,1022162,183959,1.0
-74.00845607675268,40.63482951342494,2014,3,981903,170562,1.0
-73.97555665704168,40.68692039600535,2014,3,991029,189541,1.0
-73.93207844528378,40.69059466412374,2014,3,1003086,190886,1.0
-73.94138729984984,40.69252112069748,2014,3,1000504,191586,1.0
-73.94255349205807,40.70340745714527,2014,3,1000178,195552,1.0
-73.9660402751669,40.68145314006508,2014,3,993669,187550,1.0
-73.87894878692623,40.66458545559961,2014,3,1017833,181426,1.0
-73.87914732147505,40.66044927854649,2014,3,1017780,179919,2.0
-73.99956356538932,40.70823610822515,2014,7,984371,197306,1.0
